1850	0.05
1851	0.05
1852	0.06
1853	0.06
1854	0.07
1855	0.07
1856	0.08
1857	0.08
1858	0.08
1859	0.08
1860	0.09
1861	0.10
1862	0.10
1863	0.10
1864	0.11
1865	0.12
1866	0.12
1867	0.13
1868	0.14
1869	0.14
1870	0.15
1871	0.16
1872	0.17
1873	0.18
1874	0.17
1875	0.19
1876	0.19
1877	0.19
1878	0.20
1879	0.21
1880	0.24
1881	0.24
1882	0.26
1883	0.27
1884	0.28
1885	0.28
1886	0.28
1887	0.30
1888	0.33
1889	0.33
1890	0.36
1891	0.37
1892	0.37
1893	0.37
1894	0.38
1895	0.41
1896	0.42
1897	0.44
1898	0.47
1899	0.51
1900	0.53
1901	0.55
1902	0.57
1903	0.62
1904	0.62
1905	0.66
1906	0.71
1907	0.78
1908	0.75
1909	0.79
1910	0.82
1911	0.84
1912	0.88
1913	0.94
1914	0.85
1915	0.84
1916	0.90
1917	0.96
1918	0.94
1919	0.81
1920	0.93
1921	0.80
1922	0.85
1923	0.97
1924	0.96
1925	0.98
1926	0.98
1927	1.06
1928	1.07
1929	1.15
1930	1.05
1931	0.94
1932	0.85
1933	0.89
1934	0.97
1935	1.03
1936	1.13
1937	1.21
1938	1.14
1939	1.19
1940	1.30
1941	1.33
1942	1.34
1943	1.39
1944	1.38
1945	1.16
1946	1.24
1947	1.39
1948	1.47
1949	1.42
1950	1.63
1951	1.77
1952	1.80
1953	1.84
1954	1.87
1955	2.04
1956	2.18
1957	2.27
1958	2.33
1959	2.45
1960	2.57
1961	2.58
1962	2.69
1963	2.83
1964	2.99
1965	3.13
1966	3.29
1967	3.39
1968	3.57
1969	3.78
1970	4.05
1971	4.21
1972	4.37
1973	4.61
1974	4.62
1975	4.59
1976	4.86
1977	5.01
1978	5.07
1979	5.35
1980	5.29
1981	5.13
1982	5.08
1983	5.06
1984	5.24
1985	5.40
1986	5.57
1987	5.71
1988	5.92
1989	6.05
1990	6.05
1991	6.12
1992	6.06
1993	6.05
1994	6.15
1995	6.28
1996	6.42
1997	6.53
1998	6.55
1999	6.53
2000	6.70
2001	6.86
2002	6.96
2003	7.33
2004	7.69
2005	7.98
2006	8.27
2007	8.43
2008	8.70
2009	8.60
2010	9.02
2011	9.38
2012	9.53
2013	9.61
2014	9.69
2015	9.68
2016	9.74
2017	9.87
